iter	Passed	Remaining
0	165	164874
1	180	90280
2	198	65951
3	214	53392
4	230	45813
5	246	40805
6	264	37455
7	280	34777
8	298	32861
9	318	31503
10	339	30545
11	365	30057
12	393	29896
13	423	29852
14	444	29192
15	476	29310
16	507	29346
17	537	29316
18	564	29164
19	586	28762
20	608	28352
21	626	27836
22	654	27811
23	674	27414
24	703	27437
25	736	27581
26	764	27560
27	788	27372
28	807	27024
29	821	26564
30	835	26112
31	853	25808
32	868	25436
33	883	25099
34	898	24779
35	917	24580
36	938	24427
37	960	24319
38	984	24266
39	1004	24104
40	1021	23901
41	1038	23684
42	1056	23517
43	1073	23321
44	1088	23110
45	1105	22925
46	1122	22762
47	1138	22575
48	1154	22399
49	1170	22235
50	1187	22098
51	1202	21914
52	1218	21768
53	1234	21632
54	1257	21609
55	1273	21475
56	1295	21432
57	1316	21389
58	1336	21321
59	1353	21205
60	1371	21111
61	1388	21008
62	1406	20916
63	1423	20815
64	1441	20736
65	1458	20638
66	1475	20548
67	1492	20456
68	1508	20354
69	1526	20287
70	1544	20205
71	1564	20166
72	1587	20162
73	1613	20196
74	1646	20305
75	1673	20347
76	1703	20419
77	1733	20487
78	1762	20546
79	1785	20530
80	1810	20543
81	1843	20638
82	1866	20622
83	1890	20611
84	1906	20520
85	1931	20524
86	1950	20467
87	1966	20376
88	1983	20301
89	2000	20224
90	2017	20156
91	2034	20080
92	2050	19995
93	2068	19938
94	2098	19993
95	2119	19961
96	2145	19969
97	2167	19953
98	2195	19979
99	2227	20043
100	2249	20020
101	2265	19944
102	2282	19874
103	2306	19872
104	2331	19873
105	2355	19862
106	2374	19816
107	2394	19778
108	2417	19765
109	2444	19781
110	2470	19789
111	2487	19719
112	2505	19666
113	2522	19604
114	2539	19540
115	2558	19497
116	2574	19428
117	2589	19357
118	2613	19351
119	2640	19361
120	2658	19311
121	2673	19242
122	2690	19182
123	2706	19119
124	2722	19058
125	2744	19035
126	2768	19033
127	2789	19006
128	2813	18995
129	2835	18977
130	2857	18952
131	2873	18897
132	2890	18843
133	2906	18783
134	2921	18719
135	2936	18657
136	2953	18605
137	2972	18566
138	2997	18564
139	3016	18527
140	3041	18527
141	3063	18508
142	3082	18473
143	3095	18401
144	3110	18342
145	3125	18281
146	3138	18210
147	3150	18137
148	3163	18069
149	3177	18004
150	3191	17942
151	3204	17875
152	3215	17800
153	3228	17735
154	3241	17673
155	3255	17612
156	3266	17537
157	3277	17467
158	3290	17403
159	3304	17346
160	3315	17279
161	3326	17209
162	3339	17149
163	3354	17097
164	3366	17037
165	3378	16973
166	3390	16911
167	3403	16853
168	3414	16788
169	3427	16735
170	3443	16694
171	3457	16641
172	3469	16586
173	3481	16528
174	3492	16465
175	3506	16414
176	3519	16365
177	3533	16315
178	3543	16251
179	3556	16202
180	3569	16152
181	3583	16105
182	3597	16060
183	3610	16012
184	3623	15962
185	3646	15960
186	3661	15916
187	3674	15868
188	3686	15819
189	3701	15780
190	3715	15736
191	3727	15688
192	3740	15642
193	3753	15595
194	3767	15552
195	3780	15509
196	3795	15470
197	3809	15430
198	3822	15387
199	3833	15335
200	3846	15292
201	3860	15251
202	3874	15213
203	3886	15165
204	3899	15123
205	3912	15079
206	3924	15035
207	3937	14991
208	3952	14960
209	3968	14929
210	3984	14899
211	3999	14864
212	4014	14832
213	4030	14805
214	4046	14772
215	4061	14742
216	4076	14709
217	4093	14683
218	4111	14661
219	4136	14664
220	4155	14646
221	4177	14639
222	4196	14620
223	4217	14611
224	4231	14576
225	4246	14544
226	4261	14510
227	4277	14481
228	4297	14470
229	4318	14456
230	4335	14432
231	4351	14406
232	4368	14379
233	4384	14353
234	4401	14329
235	4417	14302
236	4434	14276
237	4452	14256
238	4470	14233
239	4486	14208
240	4502	14181
241	4518	14153
242	4533	14124
243	4549	14096
244	4566	14070
245	4581	14043
246	4597	14016
247	4615	13995
248	4630	13966
249	4648	13944
250	4665	13922
251	4683	13903
252	4701	13882
253	4719	13861
254	4736	13839
255	4750	13807
256	4765	13777
257	4781	13750
258	4796	13722
259	4810	13692
260	4826	13666
261	4845	13647
262	4872	13653
263	4897	13652
264	4914	13629
265	4930	13606
266	4959	13614
267	4985	13617
268	5008	13611
269	5027	13593
270	5047	13579
271	5063	13552
272	5084	13539
273	5102	13519
274	5117	13492
275	5135	13470
276	5153	13451
277	5169	13425
278	5185	13401
279	5201	13375
280	5218	13351
281	5237	13334
282	5271	13355
283	5298	13357
284	5319	13344
285	5339	13331
286	5356	13306
287	5371	13279
288	5387	13253
289	5402	13226
290	5420	13206
291	5438	13187
292	5454	13160
293	5470	13137
294	5485	13110
295	5500	13082
296	5514	13053
297	5529	13026
298	5547	13005
299	5563	12981
